1737879374.091855 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0xe1, 0x44
1737879374.0928507 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x2, 0x5d
1737879374.0938478 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x74
1737879374.0948443 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x3, 0x0, 0x14
1737879374.1008677 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737879374.1018255 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737879374.1038222 CAN1, ID=0x54a, DLC=8, 0x12, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737879374.1048193 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737879374.1068125 CAN1, ID=0x54f, DLC=8, 0x14, 0x0, 0x0, 0x0, 0x4, 0x80, 0xc0, 0x14
1737879374.1078527 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x3, 0xd8
1737879374.1088085 CAN1, ID=0x54c, DLC=8, 0x59, 0xff, 0x0, 0x0, 0x0, 0xf8, 0xff, 0x0
1737879374.1108398 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0xb5
1737879374.111798 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x0, 0x1f, 0xff
1737879374.1137943 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737879374.1147914 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737879374.1157887 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x0, 0xd2
1737879374.1167903 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0x6e
1737879374.117784 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x0, 0xa0, 0x6
1737879374.1197786 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737879374.1217725 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737879374.1255178 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x1, 0x57
1737879374.126373 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0x16
1737879374.1273758 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x1, 0x0, 0xc
1737879374.1283731 CAN1, ID=0x56e, DLC=1, 0x46, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737879374.131404 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737879374.1323974 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x0
1737879374.1343575 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfc, 0xff, 0xff, 0xf0, 0x0, 0x0
1737879374.1343575 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737879374.1373508 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xaa, 0x2b, 0x51, 0x0, 0x2, 0x5d
1737879374.1393456 CAN0, ID=0x1dc, DLC=8, 0x64, 0xd, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0x74
1737879374.1403801 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xbd, 0x64, 0xc8, 0x1, 0x60, 0x16
1737879374.141339 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737879374.142337 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737879374.1433344 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x30, 0x13
1737879374.1483207 CAN1, ID=0x1da, DLC=8, 0xff, 0x0, 0x0, 0x0, 0x7f, 0xfe, 0x1, 0x97
1737879374.1503143 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737879374.1513119 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737879374.152309 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xfa
1737879374.154307 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xf4
1737879374.155307 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879374.158353 CAN1, ID=0x1da, DLC=8, 0xff, 0x0, 0x0, 0x0, 0x7f, 0xfe, 0x2, 0x9d
1737879374.1603565 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737879374.1613507 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737879374.1633468 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xf0
1737879374.1643472 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x2f
