1737880060.6092353 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x71
1737880060.6112332 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.614186 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.6181724 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x56
1737880060.6212025 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.6240463 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.6270487 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xc7
1737880060.6280413 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5c
1737880060.6286771 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x2
1737880060.632673 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.6346698 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.638008 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x7b
1737880060.6405954 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.6445844 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.6478205 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xb, 0x91
1737880060.6488237 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x71
1737880060.6508558 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880060.6518033 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880060.6529534 CAN1, ID=0x54c, DLC=8, 0x77, 0xff, 0x0, 0x0, 0x0, 0xf8, 0x54, 0x0
1737880060.653955 CAN1, ID=0x54f, DLC=8, 0x33, 0x0, 0x0, 0x0, 0x4, 0x40, 0xce, 0x45
1737880060.6549532 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880060.6593094 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880060.6602662 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x0, 0x1, 0x3, 0x36
1737880060.6616132 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880060.6626134 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0xa
1737880060.6636074 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfd, 0xff, 0xff, 0xf8, 0x0, 0x0
1737880060.6685977 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880060.6694477 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xc, 0x92
1737880060.6704526 CAN1, ID=0x1da, DLC=8, 0x3, 0x40, 0x0, 0x0, 0x0, 0x1, 0x0, 0x3c
1737880060.672381 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880060.675339 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880060.6773655 CAN1, ID=0x1da, DLC=8, 0x3, 0x0, 0x0, 0x0, 0x0, 0x1, 0x1, 0x1b
1737880060.67833 CAN1, ID=0x56e, DLC=1, 0x46, 0x0, 0x0, 0x0, 0x0, 0x1, 0x1, 0x1b
1737880060.681319 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880060.6863086 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880060.6873052 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xd, 0x93
