1737880060.683319 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.6853137 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.6933756 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.695214 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.7046986 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
1737880060.7056937 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737880060.715736 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x0, 0x37
1737880060.716744 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737880060.7187607 CAN0, ID=0x55b, DLC=8, 0x29, 0x0, 0xaa, 0x0, 0x0, 0x0, 0x33, 0x8c
1737880060.730762 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x1, 0xb2
1737880060.733779 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737880060.7420037 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x2, 0xb8
1737880060.7427845 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737880060.7498105 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x1, 0x10, 0x0, 0x0, 0x0
1737880060.7507617 CAN0, ID=0x5c0, DLC=8, 0x40, 0x0, 0x3c, 0x0, 0x65, 0x18, 0x1, 0xf
1737880060.7562125 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x10, 0x0, 0x3, 0x3d
