1737879739.6314318 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0xa0, 0xb
1737879739.6394851 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.640494 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879739.6414874 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879739.6514814 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879739.6524804 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879739.653481 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879739.6614559 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879739.6624522 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879739.6628866 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879739.6694818 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879739.6705155 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879739.671524 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x0, 0xc
1737879739.6796443 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
