1737879739.5276995 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.5326877 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.533685 CAN1, ID=0x55a, DLC=8, 0x13, 0x2d, 0x2f, 0x0, 0x5f, 0x0, 0x5b, 0x48
1737879739.534681 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf8, 0x7e
1737879739.535678 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.5366776 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.5376737 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.5443313 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.5456629 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.5464742 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.5474763 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x6, 0xc0, 0x0, 0x0, 0x0, 0xc0
1737879739.5484726 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.5494707 CAN1, ID=0x5a9, DLC=8, 0x74, 0x1d, 0x60, 0x10, 0x43, 0xa0, 0x0, 0x0
1737879739.553717 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.5547166 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xf9, 0x7f
1737879739.555716 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.5577083 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.5587049 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.5636923 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.565682 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.5667176 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.5676823 CAN1, ID=0x5b9, DLC=7, 0x60, 0xc, 0x60, 0x16, 0x28, 0x6, 0x0, 0xcb
1737879739.5688262 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.5697577 CAN1, ID=0x45e, DLC=1, 0x0, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.5747554 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.5757468 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xfa, 0x80
1737879739.5767462 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.5777411 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.5787382 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
1737879739.580735 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x3, 0x0, 0x80, 0x0, 0xc7
1737879739.5827305 CAN1, ID=0x393, DLC=8, 0x0, 0x20, 0x0, 0x0, 0x20, 0x0, 0x0, 0x3
1737879739.5847228 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x1, 0xe0
1737879739.5857215 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x0, 0x86
1737879739.5867193 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x7, 0x46, 0x21, 0xc0
1737879739.587716 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0xc0, 0x0, 0x0, 0xd5
1737879739.594698 CAN1, ID=0x1da, DLC=8, 0xac, 0x32, 0x18, 0x0, 0x0, 0x1, 0x2, 0xea
1737879739.5956948 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xfb, 0x81
1737879739.5956948 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x1, 0x87
1737879739.5976887 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x47, 0x46, 0x21, 0x7
1737879739.5976887 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x0, 0x0, 0x1, 0xc3
1737879739.601951 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x3, 0xcd
1737879739.6027398 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x6, 0x2e, 0x0, 0x0, 0x2a
1737879739.6047435 CAN1, ID=0x54b, DLC=8, 0x10, 0x49, 0x90, 0x12, 0x1c, 0x0, 0x0, 0x0
1737879739.6057436 CAN1, ID=0x54f, DLC=8, 0x2f, 0x4c, 0x0, 0x0, 0x4, 0x40, 0xce, 0x1c
1737879739.6067388 CAN1, ID=0x54c, DLC=8, 0x71, 0xff, 0x40, 0x0, 0x0, 0x68, 0x54, 0x0
1737879739.6087303 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x2, 0x88
1737879739.6097295 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x87, 0x46, 0x21, 0xcb
1737879739.6107392 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0x55, 0x40, 0x0, 0x2, 0xe
1737879739.6154768 CAN1, ID=0x1da, DLC=8, 0xac, 0x72, 0x18, 0x0, 0x0, 0x1, 0x0, 0xc7
1737879739.6164722 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0xfc, 0x82
1737879739.617471 CAN1, ID=0x1f2, DLC=8, 0x10, 0x64, 0x0, 0xa8, 0x0, 0x1e, 0x3, 0x89
1737879739.6184683 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc7, 0x46, 0x21, 0xc
1737879739.619465 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x4, 0xaa, 0x80, 0x0, 0x3, 0x18
