1737880439.217958 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880439.22494 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x0, 0xe6
1737880439.2259412 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880439.2279305 CAN0, ID=0x55b, DLC=8, 0x26, 0x0, 0x55, 0x0, 0xff, 0xc0, 0x33, 0x1c
1737880439.2329183 CAN0, ID=0x7bb, DLC=8, 0x22, 0x14, 0x14, 0x0, 0xff, 0xff, 0xff, 0xff
1737880439.2398999 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x63
1737880439.241897 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880439.2468812 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x69
1737880439.2479115 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880439.256855 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xec
1737880439.2578504 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
1737880439.263833 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x0, 0xe6
1737880439.264833 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x1, 0x10, 0xe1, 0x70
1737880439.274806 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x1, 0x63
1737880439.275808 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x4, 0xc4, 0xc6, 0x8
1737880439.28079 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x2, 0x69
1737880439.2817874 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0x8, 0xc0, 0xc3, 0x6a
1737880439.2917583 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xac, 0x2b, 0xf, 0x0, 0x3, 0xec
1737880439.2927566 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x5, 0x4f, 0xfd, 0xc, 0xdc, 0xc4, 0xab
