1737880438.5087972 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0x61, 0xcd
1737880438.5134113 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
1737880438.51741 CAN1, ID=0x1da, DLC=8, 0x2, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x76
1737880438.5184062 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x1, 0x87
1737880438.520406 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0x61, 0xa
1737880438.5214002 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737880438.5223966 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737880438.5234218 CAN1, ID=0x54f, DLC=8, 0x37, 0x0, 0x0, 0x0, 0x4, 0xc0, 0xce, 0x42
1737880438.5253887 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0xc0, 0x0, 0x0, 0xca
1737880438.5263844 CAN1, ID=0x54c, DLC=8, 0x7b, 0xff, 0x0, 0x0, 0x0, 0xf8, 0x55, 0x0
1737880438.5304155 CAN1, ID=0x1da, DLC=8, 0x2, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x3, 0x51
1737880438.5313725 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737880438.5324073 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737880438.5363615 CAN1, ID=0x1da, DLC=8, 0x2, 0x40, 0x0, 0x0, 0x7f, 0xff, 0x0, 0x5b
1737880438.5383554 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x2, 0x88
1737880438.5393517 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737880438.5433383 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737880438.546334 CAN1, ID=0x56e, DLC=1, 0x46, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
